WEG_B

 ======== test get_l2 ========= 

2025-11-14 09:57:58,823; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/WEG_B_300534060529310_1.txt
2025-11-14 09:58:01,578; INFO; pypromice.io.write; Written to L2_test/tx/WEG_B/WEG_B_hour.csv
2025-11-14 09:58:01,578; INFO; pypromice.io.write; Written to L2_test/tx/WEG_B/WEG_B_hour.nc
2025-11-14 09:58:03,294; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/WEG_B/WEG_B_2022_raw.txt
2025-11-14 09:58:03,364; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/WEG_B/WEG_B_2022_raw.txt
2025-11-14 09:58:03,546; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_B_2022_raw.txt
2025-11-14 09:58:03,554; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/WEG_B/WEG_B_2024_raw.txt
2025-11-14 09:58:03,722; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/WEG_B/WEG_B_2024_raw.txt
2025-11-14 09:58:03,981; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_B_2024_raw.txt
2025-11-14 09:58:04,266; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/WEG_B/WEG_B_2025_DataTable60min.dat
2025-11-14 09:58:04,276; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/WEG_B/WEG_B_2025_DataTable60min.dat
2025-11-14 09:58:04,314; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_B_2025_DataTable60min.dat
2025-11-14 09:58:04,331; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:58:04,423; INFO; pypromice.pipeline.L0toL1; Warning: Non-null data for z_pt at a bedrock site
2025-11-14 09:58:04,628; INFO; pypromice.pipeline.L0toL1; Warning: Non-null data for z_pt at a bedrock site
2025-11-14 09:58:04,824; INFO; pypromice.pipeline.L0toL1; Warning: Non-null data for z_pt at a bedrock site
2025-11-14 09:58:05,084; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:58:05,105; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_B.csv
2025-11-14 09:58:05,105; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/WEG_B.csv file to read.
2025-11-14 09:58:05,127; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/WEG_B.csv
2025-11-14 09:58:05,127; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/WEG_B.csv file to read.
2025-11-14 09:58:05,147; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_B.csv
2025-11-14 09:58:05,148; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/WEG_B.csv file to read.
2025-11-14 09:58:05,648; WARNING; pypromice.pipeline.resample; Dropping column 'msg_i' because it is of type 'object' and contains unique values: [nan '!S']
2025-11-14 09:58:06,190; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:58:06,329; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:08,103; INFO; pypromice.io.write; Written to L2_test/raw/WEG_B/WEG_B_10min.csv
2025-11-14 09:58:08,104; INFO; pypromice.io.write; Written to L2_test/raw/WEG_B/WEG_B_10min.nc
2025-11-14 09:58:08,134; WARNING; pypromice.pipeline.resample; Dropping column 'msg_i' because it is of type 'object' and contains unique values: [nan '!S']
2025-11-14 09:58:08,381; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:58:08,448; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:08,935; INFO; pypromice.io.write; Written to L2_test/raw/WEG_B/WEG_B_hour.csv
2025-11-14 09:58:08,936; INFO; pypromice.io.write; Written to L2_test/raw/WEG_B/WEG_B_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:58:09,058; INFO; pypromice.pipeline.join_l2; WEG_B array loaded from L2_test/raw/WEG_B/WEG_B_hour.nc
2025-11-14 09:58:09,086; INFO; pypromice.pipeline.join_l2; WEG_B array loaded from L2_test/tx/WEG_B/WEG_B_hour.nc
2025-11-14 09:58:09,087; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/WEG_B/WEG_B_hour.nc with L2_test/tx/WEG_B/WEG_B_hour.nc...
2025-11-14 09:58:09,189; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:09,802; INFO; pypromice.io.write; Written to L2_test/level_2/WEG_B/WEG_B_hour.csv
2025-11-14 09:58:09,802; INFO; pypromice.io.write; Written to L2_test/level_2/WEG_B/WEG_B_hour.nc
2025-11-14 09:58:09,802; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/WEG_B...

 ======== test l2tol3 ========= 

2025-11-14 09:58:09,842; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:58:09,853; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:58:09,857; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:58:09,860; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:58:09,872; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_B.csv
2025-11-14 09:58:09,872; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/WEG_B.csv file to read.
2025-11-14 09:58:09,873; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:58:09,873; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2025-11-14 09:58:09,873; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2025-11-14 09:58:10,110; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:58:10,189; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:10,814; INFO; pypromice.io.write; Written to L3_test/stations/WEG_B/WEG_B_hour.csv
2025-11-14 09:58:10,814; INFO; pypromice.io.write; Written to L3_test/stations/WEG_B/WEG_B_hour.nc
2025-11-14 09:58:10,877; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:58:10,939; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:11,009; INFO; pypromice.io.write; Written to L3_test/stations/WEG_B/WEG_B_day.csv
2025-11-14 09:58:11,009; INFO; pypromice.io.write; Written to L3_test/stations/WEG_B/WEG_B_day.nc
2025-11-14 09:58:11,065; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:58:11,126; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:11,171; INFO; pypromice.io.write; Written to L3_test/stations/WEG_B/WEG_B_month.csv
2025-11-14 09:58:11,171; INFO; pypromice.io.write; Written to L3_test/stations/WEG_B/WEG_B_month.nc
