UPE_L

 ======== test get_l2 ========= 

2025-11-14 09:57:58,329; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/UPE_L_300234061478500_1.txt
2025-11-14 09:58:46,033; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:58:49,518; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2013-08-02T19:00:00, 2020-08-11T00:00:00
2025-11-14 09:58:49,530; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2013-08-02T19:00:00, 2020-08-11T00:00:00
2025-11-14 09:58:49,538; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2013-08-02T19:00:00, 2020-08-11T00:00:00
2025-11-14 09:58:49,569; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/UPE_L.csv
2025-11-14 09:58:49,595; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:58:49,596; INFO; pypromice.pipeline.L2toL3; -> ablation site
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
2025-11-14 09:58:50,358; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:58:50,441; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:58:50,523; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:58:59,369; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:58:59,533; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:03,735; INFO; pypromice.io.write; Written to L3_test/stations/UPE_L/UPE_L_hour.csv
2025-11-14 09:59:03,735; INFO; pypromice.io.write; Written to L3_test/stations/UPE_L/UPE_L_hour.nc
2025-11-14 09:59:03,977; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:04,094; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:04,378; INFO; pypromice.io.write; Written to L3_test/stations/UPE_L/UPE_L_day.csv
2025-11-14 09:59:04,378; INFO; pypromice.io.write; Written to L3_test/stations/UPE_L/UPE_L_day.nc
2025-11-14 09:59:04,566; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:04,646; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:04,705; INFO; pypromice.io.write; Written to L3_test/stations/UPE_L/UPE_L_month.csv
2025-11-14 09:59:04,705; INFO; pypromice.io.write; Written to L3_test/stations/UPE_L/UPE_L_month.nc
