KAN_L

 ======== test get_l2 ========= 

2025-11-14 09:47:12,161; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_L_300234061293280_1.txt
2025-11-14 09:47:21,458; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2017_raw.txt
2025-11-14 09:47:21,647; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2017_raw.txt
2025-11-14 09:47:22,015; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2017_raw.txt
2025-11-14 09:47:22,044; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2018_raw.txt
2025-11-14 09:47:22,222; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2018_raw.txt
2025-11-14 09:47:22,541; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2018_raw.txt
2025-11-14 09:47:22,547; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2019_raw.txt
2025-11-14 09:47:22,702; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2019_raw.txt
2025-11-14 09:47:22,968; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2019_raw.txt
2025-11-14 09:47:22,976; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2020_raw.txt
2025-11-14 09:47:23,114; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2020_raw.txt
2025-11-14 09:47:23,369; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2020_raw.txt
2025-11-14 09:47:23,376; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2021_raw.txt
2025-11-14 09:47:23,510; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2021_raw.txt
2025-11-14 09:47:23,798; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2021_raw.txt
2025-11-14 09:47:24,326; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2022_raw_SlimTableMem.txt
2025-11-14 09:47:24,339; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2022_raw_SlimTableMem.txt
2025-11-14 09:47:24,390; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2022_raw_SlimTableMem.txt
2025-11-14 09:47:24,398; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/KAN_L/KAN_L_2022_raw_transmitted.txt
2025-11-14 09:47:24,402; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/KAN_L/KAN_L_2022_raw_transmitted.txt
2025-11-14 09:47:24,428; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2022_raw_transmitted.txt
2025-11-14 09:47:24,435; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2023_raw.txt
2025-11-14 09:47:24,578; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2023_raw.txt
2025-11-14 09:47:24,869; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2023_raw.txt
2025-11-14 09:47:24,875; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2024_raw.txt
2025-11-14 09:47:25,186; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2024_raw.txt
2025-11-14 09:47:25,880; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2024_raw.txt
2025-11-14 09:47:26,004; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:26,167; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:26,372; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:26,568; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:26,732; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:26,920; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:27,123; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:27,296; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:27,480; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:27,961; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:28,289; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:28,511; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:28,890; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:29,452; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:29,970; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:30,560; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:31,105; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:31,565; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:31,778; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:31,939; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:32,350; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:32,982; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:38,034; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:38,067; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_L.csv
2025-11-14 09:47:38,105; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_L.csv
2025-11-14 09:47:38,277; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_L.csv
2025-11-14 09:47:38,296; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:47:38,296; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:47:47,136; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:47:47,765; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:07,159; INFO; pypromice.io.write; Written to L2_test/raw/KAN_L/KAN_L_10min.csv
2025-11-14 09:48:07,159; INFO; pypromice.io.write; Written to L2_test/raw/KAN_L/KAN_L_10min.nc
2025-11-14 09:48:08,968; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:48:09,103; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:12,632; INFO; pypromice.io.write; Written to L2_test/raw/KAN_L/KAN_L_hour.csv
2025-11-14 09:48:12,632; INFO; pypromice.io.write; Written to L2_test/raw/KAN_L/KAN_L_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:48:12,771; INFO; pypromice.pipeline.join_l2; KAN_L array loaded from L2_test/raw/KAN_L/KAN_L_hour.nc
2025-11-14 09:48:12,799; INFO; pypromice.pipeline.join_l2; KAN_L array loaded from L2_test/tx/KAN_L/KAN_L_hour.nc
2025-11-14 09:48:12,799; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/KAN_L/KAN_L_hour.nc with L2_test/tx/KAN_L/KAN_L_hour.nc...
2025-11-14 09:48:12,959; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:16,463; INFO; pypromice.io.write; Written to L2_test/level_2/KAN_L/KAN_L_hour.csv
2025-11-14 09:48:16,463; INFO; pypromice.io.write; Written to L2_test/level_2/KAN_L/KAN_L_hour.nc
2025-11-14 09:48:16,463; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/KAN_L...

 ======== test l2tol3 ========= 

2025-11-14 09:48:16,512; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:48:20,259; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2016-07-17T00:00:00, 2018-08-28T20:00:00
2025-11-14 09:48:20,270; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2016-07-17T00:00:00, 2018-08-28T20:00:00
2025-11-14 09:48:20,279; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2016-07-17T00:00:00, 2018-08-28T20:00:00
2025-11-14 09:48:20,311; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_L.csv
2025-11-14 09:48:20,343; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:48:20,343; INFO; pypromice.pipeline.L2toL3; -> ablation site
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
2025-11-14 09:48:21,113; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:48:21,187; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:48:21,381; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:48:33,490; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:48:33,777; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:37,900; INFO; pypromice.io.write; Written to L3_test/stations/KAN_L/KAN_L_hour.csv
2025-11-14 09:48:37,900; INFO; pypromice.io.write; Written to L3_test/stations/KAN_L/KAN_L_hour.nc
2025-11-14 09:48:38,058; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:48:38,139; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:38,422; INFO; pypromice.io.write; Written to L3_test/stations/KAN_L/KAN_L_day.csv
2025-11-14 09:48:38,423; INFO; pypromice.io.write; Written to L3_test/stations/KAN_L/KAN_L_day.nc
2025-11-14 09:48:38,636; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:48:38,749; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:38,833; INFO; pypromice.io.write; Written to L3_test/stations/KAN_L/KAN_L_month.csv
2025-11-14 09:48:38,833; INFO; pypromice.io.write; Written to L3_test/stations/KAN_L/KAN_L_month.nc
