TAS_Av3

 ======== test get_l2 ========= 

2025-11-14 09:56:08,235; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/TAS_Av3_300534064381670_1.txt
2025-11-14 09:56:13,188; INFO; pypromice.io.write; Written to L2_test/raw/TAS_Av3/TAS_Av3_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:56:13,317; INFO; pypromice.pipeline.join_l2; TAS_Av3 array loaded from L2_test/raw/TAS_Av3/TAS_Av3_hour.nc
2025-11-14 09:56:13,351; INFO; pypromice.pipeline.join_l2; TAS_Av3 array loaded from L2_test/tx/TAS_Av3/TAS_Av3_hour.nc
2025-11-14 09:56:13,351; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/TAS_Av3/TAS_Av3_hour.nc with L2_test/tx/TAS_Av3/TAS_Av3_hour.nc...
2025-11-14 09:56:13,437; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:13,729; INFO; pypromice.io.write; Written to L2_test/level_2/TAS_Av3/TAS_Av3_hour.csv
2025-11-14 09:56:13,729; INFO; pypromice.io.write; Written to L2_test/level_2/TAS_Av3/TAS_Av3_hour.nc
2025-11-14 09:56:13,729; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/TAS_Av3...

 ======== test l2tol3 ========= 

2025-11-14 09:56:13,787; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:56:15,255; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:56:15,258; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:56:15,261; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:56:15,276; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_Av3.csv
2025-11-14 09:56:15,288; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:56:15,288; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:56:15,362; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:56:15,385; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:56:15,390; INFO; pypromice.pipeline.L2toL3; No maintenance at TAS_Av3
2025-11-14 09:56:15,397; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:56:17,240; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:17,328; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:17,694; INFO; pypromice.io.write; Written to L3_test/stations/TAS_Av3/TAS_Av3_hour.csv
2025-11-14 09:56:17,694; INFO; pypromice.io.write; Written to L3_test/stations/TAS_Av3/TAS_Av3_hour.nc
2025-11-14 09:56:17,742; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:56:17,819; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:17,891; INFO; pypromice.io.write; Written to L3_test/stations/TAS_Av3/TAS_Av3_day.csv
2025-11-14 09:56:17,891; INFO; pypromice.io.write; Written to L3_test/stations/TAS_Av3/TAS_Av3_day.nc
2025-11-14 09:56:17,942; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:56:18,022; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:18,081; INFO; pypromice.io.write; Written to L3_test/stations/TAS_Av3/TAS_Av3_month.csv
2025-11-14 09:56:18,081; INFO; pypromice.io.write; Written to L3_test/stations/TAS_Av3/TAS_Av3_month.nc
