SWC

 ======== test get_l2 ========= 

2025-11-14 09:56:07,964; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/SWC_300534060524310_1.txt
2025-11-14 09:56:16,640; INFO; pypromice.pipeline.join_l2; SWC array loaded from L2_test/raw/SWC/SWC_hour.nc
2025-11-14 09:56:16,671; INFO; pypromice.pipeline.join_l2; SWC array loaded from L2_test/tx/SWC/SWC_hour.nc
2025-11-14 09:56:16,671; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/SWC/SWC_hour.nc with L2_test/tx/SWC/SWC_hour.nc...
2025-11-14 09:56:16,764; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:17,381; INFO; pypromice.io.write; Written to L2_test/level_2/SWC/SWC_hour.csv
2025-11-14 09:56:17,381; INFO; pypromice.io.write; Written to L2_test/level_2/SWC/SWC_hour.nc
2025-11-14 09:56:17,381; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/SWC...

 ======== test l2tol3 ========= 

2025-11-14 09:56:17,418; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:56:19,094; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:56:19,098; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:56:19,101; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:56:19,117; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SWC.csv
2025-11-14 09:56:19,124; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:56:19,124; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:56:19,298; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:56:19,332; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:56:19,363; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:56:21,970; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:22,060; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:22,845; INFO; pypromice.io.write; Written to L3_test/stations/SWC/SWC_hour.csv
2025-11-14 09:56:22,845; INFO; pypromice.io.write; Written to L3_test/stations/SWC/SWC_hour.nc
2025-11-14 09:56:22,905; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:56:22,982; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:23,067; INFO; pypromice.io.write; Written to L3_test/stations/SWC/SWC_day.csv
2025-11-14 09:56:23,067; INFO; pypromice.io.write; Written to L3_test/stations/SWC/SWC_day.nc
2025-11-14 09:56:23,122; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:56:23,199; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:23,259; INFO; pypromice.io.write; Written to L3_test/stations/SWC/SWC_month.csv
2025-11-14 09:56:23,259; INFO; pypromice.io.write; Written to L3_test/stations/SWC/SWC_month.nc
