KAN_B

 ======== test get_l2 ========= 

2025-11-14 09:47:12,729; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_B_300034012256830_1.txt
2025-11-14 09:47:25,081; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2023_raw.txt
2025-11-14 09:47:25,159; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2023_raw.txt
2025-11-14 09:47:25,326; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2023_raw.txt
2025-11-14 09:47:25,464; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2024_raw_1.txt
2025-11-14 09:47:25,471; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2024_raw_1.txt
2025-11-14 09:47:25,513; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2024_raw_1.txt
2025-11-14 09:47:26,658; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2024_raw_2.txt
2025-11-14 09:47:26,735; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2024_raw_2.txt
2025-11-14 09:47:26,889; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2024_raw_2.txt
2025-11-14 09:47:28,013; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2025_TableMem.dat
2025-11-14 09:47:28,104; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2025_TableMem.dat
2025-11-14 09:47:28,327; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2025_TableMem.dat
2025-11-14 09:47:28,672; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:36,624; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:36,652; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_B.csv
2025-11-14 09:47:36,682; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_B.csv
2025-11-14 09:47:36,683; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/KAN_B.csv file to read.
2025-11-14 09:47:36,712; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_B.csv
2025-11-14 09:47:43,345; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:47:43,935; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:57,919; INFO; pypromice.io.write; Written to L2_test/raw/KAN_B/KAN_B_10min.csv
2025-11-14 09:47:57,919; INFO; pypromice.io.write; Written to L2_test/raw/KAN_B/KAN_B_10min.nc
2025-11-14 09:47:59,510; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:59,635; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:02,276; INFO; pypromice.io.write; Written to L2_test/raw/KAN_B/KAN_B_hour.csv
2025-11-14 09:48:02,276; INFO; pypromice.io.write; Written to L2_test/raw/KAN_B/KAN_B_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:48:02,435; INFO; pypromice.pipeline.join_l2; KAN_B array loaded from L2_test/raw/KAN_B/KAN_B_hour.nc
2025-11-14 09:48:02,463; INFO; pypromice.pipeline.join_l2; KAN_B array loaded from L2_test/tx/KAN_B/KAN_B_hour.nc
2025-11-14 09:48:02,463; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/KAN_B/KAN_B_hour.nc with L2_test/tx/KAN_B/KAN_B_hour.nc...
2025-11-14 09:48:02,645; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:05,302; INFO; pypromice.io.write; Written to L2_test/level_2/KAN_B/KAN_B_hour.csv
2025-11-14 09:48:05,302; INFO; pypromice.io.write; Written to L2_test/level_2/KAN_B/KAN_B_hour.nc
2025-11-14 09:48:05,302; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/KAN_B...

 ======== test l2tol3 ========= 

2025-11-14 09:48:05,353; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
no gps_lat at KAN_B
no gps_lon at KAN_B
no gps_alt at KAN_B
2025-11-14 09:48:05,402; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_B.csv
2025-11-14 09:48:05,410; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:48:05,410; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2025-11-14 09:48:05,410; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2025-11-14 09:48:05,982; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:48:06,122; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:08,523; INFO; pypromice.io.write; Written to L3_test/stations/KAN_B/KAN_B_hour.csv
2025-11-14 09:48:08,523; INFO; pypromice.io.write; Written to L3_test/stations/KAN_B/KAN_B_hour.nc
2025-11-14 09:48:08,655; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:48:08,718; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:08,854; INFO; pypromice.io.write; Written to L3_test/stations/KAN_B/KAN_B_day.csv
2025-11-14 09:48:08,854; INFO; pypromice.io.write; Written to L3_test/stations/KAN_B/KAN_B_day.nc
2025-11-14 09:48:09,003; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:48:09,062; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:09,109; INFO; pypromice.io.write; Written to L3_test/stations/KAN_B/KAN_B_month.csv
2025-11-14 09:48:09,109; INFO; pypromice.io.write; Written to L3_test/stations/KAN_B/KAN_B_month.nc
