JAR_O

 ======== test get_l2 ========= 

2025-11-14 09:47:12,780; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/JAR_O_300534063814490_1.txt
2025-11-14 09:47:15,887; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/JAR_O/JAR_O_2024_raw.txt
2025-11-14 09:47:15,972; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/JAR_O/JAR_O_2024_raw.txt
2025-11-14 09:47:16,155; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from JAR_O_2024_raw.txt
2025-11-14 09:47:16,162; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/JAR_O/JAR_O_2025_DataTable10min.dat
2025-11-14 09:47:16,264; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/JAR_O/JAR_O_2025_DataTable10min.dat
2025-11-14 09:47:16,474; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from JAR_O_2025_DataTable10min.dat
2025-11-14 09:47:16,490; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:16,574; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:16,753; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:16,937; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:17,257; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:17,264; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/JAR_O.csv
2025-11-14 09:47:17,272; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/JAR_O.csv
2025-11-14 09:47:17,296; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/JAR_O.csv
2025-11-14 09:47:17,317; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:47:17,318; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:47:18,607; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:47:18,771; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:22,698; INFO; pypromice.io.write; Written to L2_test/raw/JAR_O/JAR_O_10min.csv
2025-11-14 09:47:22,698; INFO; pypromice.io.write; Written to L2_test/raw/JAR_O/JAR_O_10min.nc
2025-11-14 09:47:23,116; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:23,187; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:23,991; INFO; pypromice.io.write; Written to L2_test/raw/JAR_O/JAR_O_hour.csv
2025-11-14 09:47:23,991; INFO; pypromice.io.write; Written to L2_test/raw/JAR_O/JAR_O_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:47:24,125; INFO; pypromice.pipeline.join_l2; JAR_O array loaded from L2_test/raw/JAR_O/JAR_O_hour.nc
2025-11-14 09:47:24,153; INFO; pypromice.pipeline.join_l2; JAR_O array loaded from L2_test/tx/JAR_O/JAR_O_hour.nc
2025-11-14 09:47:24,153; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/JAR_O/JAR_O_hour.nc with L2_test/tx/JAR_O/JAR_O_hour.nc...
2025-11-14 09:47:24,255; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:25,080; INFO; pypromice.io.write; Written to L2_test/level_2/JAR_O/JAR_O_hour.csv
2025-11-14 09:47:25,080; INFO; pypromice.io.write; Written to L2_test/level_2/JAR_O/JAR_O_hour.nc
2025-11-14 09:47:25,080; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/JAR_O...

 ======== test l2tol3 ========= 

2025-11-14 09:47:25,121; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:47:26,869; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:47:26,873; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:47:26,876; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:47:26,894; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/JAR_O.csv
2025-11-14 09:47:26,905; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:47:26,905; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:47:27,078; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:47:27,109; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:47:27,137; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:47:31,576; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:31,675; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:32,675; INFO; pypromice.io.write; Written to L3_test/stations/JAR_O/JAR_O_hour.csv
2025-11-14 09:47:32,675; INFO; pypromice.io.write; Written to L3_test/stations/JAR_O/JAR_O_hour.nc
2025-11-14 09:47:32,750; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:47:32,830; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:32,937; INFO; pypromice.io.write; Written to L3_test/stations/JAR_O/JAR_O_day.csv
2025-11-14 09:47:32,937; INFO; pypromice.io.write; Written to L3_test/stations/JAR_O/JAR_O_day.nc
2025-11-14 09:47:33,056; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:47:33,137; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:33,202; INFO; pypromice.io.write; Written to L3_test/stations/JAR_O/JAR_O_month.csv
2025-11-14 09:47:33,202; INFO; pypromice.io.write; Written to L3_test/stations/JAR_O/JAR_O_month.nc
