KAN_Tv3

 ======== test get_l2 ========= 

2025-11-14 09:48:41,283; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_Tv3_300534064383800_1.txt
2025-11-14 09:48:48,351; INFO; pypromice.io.write; Written to L2_test/raw/KAN_Tv3/KAN_Tv3_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:48:48,482; INFO; pypromice.pipeline.join_l2; KAN_Tv3 array loaded from L2_test/raw/KAN_Tv3/KAN_Tv3_hour.nc
2025-11-14 09:48:48,513; INFO; pypromice.pipeline.join_l2; KAN_Tv3 array loaded from L2_test/tx/KAN_Tv3/KAN_Tv3_hour.nc
2025-11-14 09:48:48,513; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/KAN_Tv3/KAN_Tv3_hour.nc with L2_test/tx/KAN_Tv3/KAN_Tv3_hour.nc...
2025-11-14 09:48:48,601; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:49,023; INFO; pypromice.io.write; Written to L2_test/level_2/KAN_Tv3/KAN_Tv3_hour.csv
2025-11-14 09:48:49,023; INFO; pypromice.io.write; Written to L2_test/level_2/KAN_Tv3/KAN_Tv3_hour.nc
2025-11-14 09:48:49,023; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/KAN_Tv3...

 ======== test l2tol3 ========= 

2025-11-14 09:48:49,060; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:48:50,154; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:48:50,158; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:48:50,160; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:48:50,177; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_Tv3.csv
2025-11-14 09:48:50,186; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:48:50,186; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:48:50,266; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:48:50,288; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:48:50,310; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:48:50,591; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:48:50,676; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:51,123; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Tv3/KAN_Tv3_hour.csv
2025-11-14 09:48:51,123; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Tv3/KAN_Tv3_hour.nc
2025-11-14 09:48:51,180; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:48:51,259; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:51,339; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Tv3/KAN_Tv3_day.csv
2025-11-14 09:48:51,340; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Tv3/KAN_Tv3_day.nc
2025-11-14 09:48:51,401; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:48:51,478; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:51,541; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Tv3/KAN_Tv3_month.csv
2025-11-14 09:48:51,541; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Tv3/KAN_Tv3_month.nc
