ZAC_A

 ======== test get_l2 ========= 

2025-11-14 09:59:06,501; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/ZAC_A_300534062419950_1.txt
2025-11-14 09:59:08,469; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/ZAC_A/ZAC_A_2025_raw.dat
2025-11-14 09:59:08,560; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/ZAC_A/ZAC_A_2025_raw.dat
2025-11-14 09:59:08,793; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_A_2025_raw.dat
2025-11-14 09:59:08,803; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:59:08,896; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:09,105; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:09,331; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:59:09,338; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv
2025-11-14 09:59:09,338; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv file to read.
2025-11-14 09:59:09,344; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/ZAC_A.csv
2025-11-14 09:59:09,384; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv
2025-11-14 09:59:09,384; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv file to read.
2025-11-14 09:59:10,585; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:59:10,714; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:13,671; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_A/ZAC_A_10min.csv
2025-11-14 09:59:13,671; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_A/ZAC_A_10min.nc
2025-11-14 09:59:14,081; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:14,162; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:14,785; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_A/ZAC_A_hour.csv
2025-11-14 09:59:14,785; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_A/ZAC_A_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:59:14,917; INFO; pypromice.pipeline.join_l2; ZAC_A array loaded from L2_test/raw/ZAC_A/ZAC_A_hour.nc
2025-11-14 09:59:14,952; INFO; pypromice.pipeline.join_l2; ZAC_A array loaded from L2_test/tx/ZAC_A/ZAC_A_hour.nc
2025-11-14 09:59:14,952; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/ZAC_A/ZAC_A_hour.nc with L2_test/tx/ZAC_A/ZAC_A_hour.nc...
2025-11-14 09:59:15,065; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:15,768; INFO; pypromice.io.write; Written to L2_test/level_2/ZAC_A/ZAC_A_hour.csv
2025-11-14 09:59:15,768; INFO; pypromice.io.write; Written to L2_test/level_2/ZAC_A/ZAC_A_hour.nc
2025-11-14 09:59:15,768; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/ZAC_A...

 ======== test l2tol3 ========= 

2025-11-14 09:59:15,817; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:59:18,910; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:59:18,913; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:59:18,916; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:59:18,933; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv
2025-11-14 09:59:18,934; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv file to read.
2025-11-14 09:59:18,934; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:59:18,934; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2025-11-14 09:59:18,934; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2025-11-14 09:59:18,968; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:59:19,001; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:59:20,754; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:20,869; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:21,567; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_A/ZAC_A_hour.csv
2025-11-14 09:59:21,567; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_A/ZAC_A_hour.nc
2025-11-14 09:59:21,639; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:21,740; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:21,836; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_A/ZAC_A_day.csv
2025-11-14 09:59:21,836; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_A/ZAC_A_day.nc
2025-11-14 09:59:21,934; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:22,035; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:22,100; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_A/ZAC_A_month.csv
2025-11-14 09:59:22,100; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_A/ZAC_A_month.nc
