QAS_A

 ======== test get_l2 ========= 

2025-11-14 09:52:35,107; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_A/QAS_A_2013_raw.txt
2025-11-14 09:52:39,480; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:52:39,548; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:39,914; INFO; pypromice.io.write; Written to L2_test/raw/QAS_A/QAS_A_hour.csv
2025-11-14 09:52:39,914; INFO; pypromice.io.write; Written to L2_test/raw/QAS_A/QAS_A_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:52:40,046; INFO; pypromice.pipeline.join_l2; QAS_A array loaded from L2_test/raw/QAS_A/QAS_A_hour.nc
2025-11-14 09:52:40,047; INFO; pypromice.pipeline.join_l2; Only one file found L2_test/raw/QAS_A/QAS_A_hour.nc...
2025-11-14 09:52:40,112; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:40,476; INFO; pypromice.io.write; Written to L2_test/level_2/QAS_A/QAS_A_hour.csv
2025-11-14 09:52:40,476; INFO; pypromice.io.write; Written to L2_test/level_2/QAS_A/QAS_A_hour.nc
2025-11-14 09:52:40,476; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/QAS_A...

 ======== test l2tol3 ========= 

2025-11-14 09:52:40,623; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:52:42,231; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:52:42,235; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:52:42,237; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:52:42,254; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_A.csv
2025-11-14 09:52:42,265; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:52:42,266; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:52:42,378; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:52:42,405; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:52:42,431; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:52:43,389; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:52:43,482; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:44,087; INFO; pypromice.io.write; Written to L3_test/stations/QAS_A/QAS_A_hour.csv
2025-11-14 09:52:44,087; INFO; pypromice.io.write; Written to L3_test/stations/QAS_A/QAS_A_hour.nc
2025-11-14 09:52:44,142; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:52:44,221; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:44,297; INFO; pypromice.io.write; Written to L3_test/stations/QAS_A/QAS_A_day.csv
2025-11-14 09:52:44,297; INFO; pypromice.io.write; Written to L3_test/stations/QAS_A/QAS_A_day.nc
2025-11-14 09:52:44,350; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:52:44,427; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:44,486; INFO; pypromice.io.write; Written to L3_test/stations/QAS_A/QAS_A_month.csv
2025-11-14 09:52:44,486; INFO; pypromice.io.write; Written to L3_test/stations/QAS_A/QAS_A_month.nc
