THU_L2

 ======== test get_l2 ========= 

2025-11-14 09:56:57,276; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/THU_L2_300234065158630_1.txt
2025-11-14 09:57:00,193; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L2/THU_L2_2024_SlimTableMem.txt
2025-11-14 09:57:00,270; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L2_2024_SlimTableMem.txt
2025-11-14 09:57:00,279; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:57:00,365; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:00,629; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:00,752; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:57:00,753; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_L2.csv
2025-11-14 09:57:00,757; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/THU_L2.csv
2025-11-14 09:57:00,763; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_L2.csv
2025-11-14 09:57:00,785; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:57:00,787; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:57:00,787; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:57:01,366; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:57:01,456; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:02,000; INFO; pypromice.io.write; Written to L2_test/raw/THU_L2/THU_L2_hour.csv
2025-11-14 09:57:02,000; INFO; pypromice.io.write; Written to L2_test/raw/THU_L2/THU_L2_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:57:02,140; INFO; pypromice.pipeline.join_l2; THU_L2 array loaded from L2_test/raw/THU_L2/THU_L2_hour.nc
2025-11-14 09:57:02,168; INFO; pypromice.pipeline.join_l2; THU_L2 array loaded from L2_test/tx/THU_L2/THU_L2_hour.nc
2025-11-14 09:57:02,168; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/THU_L2/THU_L2_hour.nc with L2_test/tx/THU_L2/THU_L2_hour.nc...
2025-11-14 09:57:02,282; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:03,025; INFO; pypromice.io.write; Written to L2_test/level_2/THU_L2/THU_L2_hour.csv
2025-11-14 09:57:03,025; INFO; pypromice.io.write; Written to L2_test/level_2/THU_L2/THU_L2_hour.nc
2025-11-14 09:57:03,025; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/THU_L2...

 ======== test l2tol3 ========= 

2025-11-14 09:57:03,069; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:57:05,149; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:57:05,153; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:57:05,157; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:57:05,174; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_L2.csv
2025-11-14 09:57:05,196; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:57:05,196; INFO; pypromice.pipeline.L2toL3; -> ablation site
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
2025-11-14 09:57:05,355; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:57:05,384; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:57:05,407; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:57:06,360; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:57:06,474; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:07,539; INFO; pypromice.io.write; Written to L3_test/stations/THU_L2/THU_L2_hour.csv
2025-11-14 09:57:07,539; INFO; pypromice.io.write; Written to L3_test/stations/THU_L2/THU_L2_hour.nc
2025-11-14 09:57:07,621; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:57:07,715; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:07,831; INFO; pypromice.io.write; Written to L3_test/stations/THU_L2/THU_L2_day.csv
2025-11-14 09:57:07,831; INFO; pypromice.io.write; Written to L3_test/stations/THU_L2/THU_L2_day.nc
2025-11-14 09:57:07,902; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:57:07,995; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:08,104; INFO; pypromice.io.write; Written to L3_test/stations/THU_L2/THU_L2_month.csv
2025-11-14 09:57:08,104; INFO; pypromice.io.write; Written to L3_test/stations/THU_L2/THU_L2_month.nc
