ZAC_Uv3

 ======== test get_l2 ========= 

2025-11-14 09:59:06,518; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/ZAC_Uv3_300234068329190_1.txt
2025-11-14 09:59:13,015; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2023-04-25T19:00:00, 2024-04-25T19:00:00
2025-11-14 09:59:13,022; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2023-04-25T19:00:00, 2024-04-25T19:00:00
2025-11-14 09:59:13,028; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2023-04-25T19:00:00, 2024-04-25T19:00:00
2025-11-14 09:59:13,051; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_Uv3.csv
2025-11-14 09:59:13,061; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:59:13,061; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:59:13,234; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:59:13,267; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:59:13,275; INFO; pypromice.pipeline.L2toL3; No maintenance at ZAC_Uv3
2025-11-14 09:59:13,284; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:59:14,227; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:14,332; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:15,117; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Uv3/ZAC_Uv3_hour.csv
2025-11-14 09:59:15,117; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Uv3/ZAC_Uv3_hour.nc
2025-11-14 09:59:15,188; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:15,266; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:15,355; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Uv3/ZAC_Uv3_day.csv
2025-11-14 09:59:15,355; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Uv3/ZAC_Uv3_day.nc
2025-11-14 09:59:15,421; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:15,498; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:15,554; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Uv3/ZAC_Uv3_month.csv
2025-11-14 09:59:15,554; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Uv3/ZAC_Uv3_month.nc
