JAR

 ======== test get_l2 ========= 

2025-11-14 09:47:12,802; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/JAR_300534060520350_1.txt
2025-11-14 09:47:14,890; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:14,891; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/JAR.csv
2025-11-14 09:47:14,893; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/JAR.csv
2025-11-14 09:47:14,900; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/JAR.csv
2025-11-14 09:47:14,907; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:47:14,907; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:47:15,257; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:47:15,313; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:15,518; INFO; pypromice.io.write; Written to L2_test/raw/JAR/JAR_10min.csv
2025-11-14 09:47:15,518; INFO; pypromice.io.write; Written to L2_test/raw/JAR/JAR_10min.nc
2025-11-14 09:47:15,619; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:15,674; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:15,785; INFO; pypromice.io.write; Written to L2_test/raw/JAR/JAR_hour.csv
2025-11-14 09:47:15,785; INFO; pypromice.io.write; Written to L2_test/raw/JAR/JAR_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:47:15,948; INFO; pypromice.pipeline.join_l2; JAR array loaded from L2_test/raw/JAR/JAR_hour.nc
2025-11-14 09:47:15,981; INFO; pypromice.pipeline.join_l2; JAR array loaded from L2_test/tx/JAR/JAR_hour.nc
2025-11-14 09:47:15,981; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/JAR/JAR_hour.nc with L2_test/tx/JAR/JAR_hour.nc...
2025-11-14 09:47:16,067; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:16,303; INFO; pypromice.io.write; Written to L2_test/level_2/JAR/JAR_hour.csv
2025-11-14 09:47:16,303; INFO; pypromice.io.write; Written to L2_test/level_2/JAR/JAR_hour.nc
2025-11-14 09:47:16,303; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/JAR...

 ======== test l2tol3 ========= 

2025-11-14 09:47:16,344; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:47:17,842; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2022-06-16T16:00:00
2025-11-14 09:47:17,848; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2022-06-16T16:00:00
2025-11-14 09:47:17,853; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2022-06-16T16:00:00
2025-11-14 09:47:17,871; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/JAR.csv
2025-11-14 09:47:17,886; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:47:17,886; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:47:17,980; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:47:18,002; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:47:18,022; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:47:18,303; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:18,391; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:18,896; INFO; pypromice.io.write; Written to L3_test/stations/JAR/JAR_hour.csv
2025-11-14 09:47:18,896; INFO; pypromice.io.write; Written to L3_test/stations/JAR/JAR_hour.nc
2025-11-14 09:47:18,952; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:47:19,028; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:19,111; INFO; pypromice.io.write; Written to L3_test/stations/JAR/JAR_day.csv
2025-11-14 09:47:19,111; INFO; pypromice.io.write; Written to L3_test/stations/JAR/JAR_day.nc
2025-11-14 09:47:19,164; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:47:19,240; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:19,319; INFO; pypromice.io.write; Written to L3_test/stations/JAR/JAR_month.csv
2025-11-14 09:47:19,319; INFO; pypromice.io.write; Written to L3_test/stations/JAR/JAR_month.nc
