FRE

 ======== test get_l2 ========= 

2025-11-14 09:46:20,395; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/FRE_300234061852400_1.txt
2025-11-14 09:46:26,660; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from FRE_2023_raw.txt
2025-11-14 09:46:26,667; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/FRE/FRE_2024_raw.txt
2025-11-14 09:46:26,786; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/FRE/FRE_2024_raw.txt
2025-11-14 09:46:27,074; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from FRE_2024_raw.txt
2025-11-14 09:46:27,100; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:46:27,544; INFO; pypromice.pipeline.L0toL1; Special decoding of air pressure
2025-11-14 09:46:27,544; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:28,215; INFO; pypromice.pipeline.L0toL1; Special decoding of air pressure
2025-11-14 09:46:28,216; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:29,283; INFO; pypromice.pipeline.L0toL1; Special decoding of air pressure
2025-11-14 09:46:29,284; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:30,044; INFO; pypromice.pipeline.L0toL1; Special decoding of air pressure
2025-11-14 09:46:30,045; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:30,458; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:31,444; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:46:31,461; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/FRE.csv
2025-11-14 09:46:31,479; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/FRE.csv
2025-11-14 09:46:31,517; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/FRE.csv
2025-11-14 09:46:31,538; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:46:31,538; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:46:35,210; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:46:35,550; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:44,774; INFO; pypromice.io.write; Written to L2_test/raw/FRE/FRE_10min.csv
2025-11-14 09:46:44,774; INFO; pypromice.io.write; Written to L2_test/raw/FRE/FRE_10min.nc
2025-11-14 09:46:45,618; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:46:45,711; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:47,422; INFO; pypromice.io.write; Written to L2_test/raw/FRE/FRE_hour.csv
2025-11-14 09:46:47,422; INFO; pypromice.io.write; Written to L2_test/raw/FRE/FRE_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:46:47,548; INFO; pypromice.pipeline.join_l2; FRE array loaded from L2_test/raw/FRE/FRE_hour.nc
2025-11-14 09:46:47,577; INFO; pypromice.pipeline.join_l2; FRE array loaded from L2_test/tx/FRE/FRE_hour.nc
2025-11-14 09:46:47,577; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/FRE/FRE_hour.nc with L2_test/tx/FRE/FRE_hour.nc...
2025-11-14 09:46:47,724; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:49,651; INFO; pypromice.io.write; Written to L2_test/level_2/FRE/FRE_hour.csv
2025-11-14 09:46:49,651; INFO; pypromice.io.write; Written to L2_test/level_2/FRE/FRE_hour.nc
2025-11-14 09:46:49,652; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/FRE...

 ======== test l2tol3 ========= 

2025-11-14 09:46:49,692; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:46:49,787; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:46:49,794; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:46:49,799; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:46:49,824; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/FRE.csv
2025-11-14 09:46:49,839; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:46:49,839; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:46:50,334; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:46:50,394; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:46:50,402; INFO; pypromice.pipeline.L2toL3; No maintenance at FRE
2025-11-14 09:46:50,421; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:46:53,545; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:46:53,673; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:55,944; INFO; pypromice.io.write; Written to L3_test/stations/FRE/FRE_hour.csv
2025-11-14 09:46:55,945; INFO; pypromice.io.write; Written to L3_test/stations/FRE/FRE_hour.nc
2025-11-14 09:46:56,079; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:46:56,177; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:56,350; INFO; pypromice.io.write; Written to L3_test/stations/FRE/FRE_day.csv
2025-11-14 09:46:56,350; INFO; pypromice.io.write; Written to L3_test/stations/FRE/FRE_day.nc
2025-11-14 09:46:56,482; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:46:56,575; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:56,643; INFO; pypromice.io.write; Written to L3_test/stations/FRE/FRE_month.csv
2025-11-14 09:46:56,643; INFO; pypromice.io.write; Written to L3_test/stations/FRE/FRE_month.nc
