THU_L

 ======== test get_l2 ========= 

2025-11-14 09:56:57,217; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/THU_L_300234065153530_1.txt
2025-11-14 09:57:05,525; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2019_raw.txt
2025-11-14 09:57:05,956; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_2019_raw.txt
2025-11-14 09:57:05,963; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2021_raw.txt
2025-11-14 09:57:06,380; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2021_raw.txt
2025-11-14 09:57:07,158; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_2021_raw.txt
2025-11-14 09:57:07,167; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2022_raw.txt
2025-11-14 09:57:07,240; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2022_raw.txt
2025-11-14 09:57:07,403; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_2022_raw.txt
2025-11-14 09:57:07,450; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:57:07,611; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:07,801; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:08,150; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:08,349; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:08,794; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:09,179; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:09,373; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:09,753; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:10,478; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:10,787; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:12,727; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:57:12,747; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_L.csv
2025-11-14 09:57:12,770; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/THU_L.csv
2025-11-14 09:57:12,808; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_L.csv
2025-11-14 09:57:12,834; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:57:12,835; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:57:17,154; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:57:17,653; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:30,223; INFO; pypromice.io.write; Written to L2_test/raw/THU_L/THU_L_10min.csv
2025-11-14 09:57:30,223; INFO; pypromice.io.write; Written to L2_test/raw/THU_L/THU_L_10min.nc
2025-11-14 09:57:31,536; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:57:31,655; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:34,144; INFO; pypromice.io.write; Written to L2_test/raw/THU_L/THU_L_hour.csv
2025-11-14 09:57:34,144; INFO; pypromice.io.write; Written to L2_test/raw/THU_L/THU_L_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:57:34,271; INFO; pypromice.pipeline.join_l2; THU_L array loaded from L2_test/raw/THU_L/THU_L_hour.nc
2025-11-14 09:57:34,302; INFO; pypromice.pipeline.join_l2; THU_L array loaded from L2_test/tx/THU_L/THU_L_hour.nc
2025-11-14 09:57:34,302; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/THU_L/THU_L_hour.nc with L2_test/tx/THU_L/THU_L_hour.nc...
2025-11-14 09:57:34,488; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:37,379; INFO; pypromice.io.write; Written to L2_test/level_2/THU_L/THU_L_hour.csv
2025-11-14 09:57:37,379; INFO; pypromice.io.write; Written to L2_test/level_2/THU_L/THU_L_hour.nc
2025-11-14 09:57:37,379; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/THU_L...

 ======== test l2tol3 ========= 

2025-11-14 09:57:37,422; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:57:40,406; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2017-04-12T16:00:00
2025-11-14 09:57:40,417; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2017-04-12T16:00:00
2025-11-14 09:57:40,426; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2017-04-12T16:00:00
2025-11-14 09:57:40,456; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_L.csv
2025-11-14 09:57:40,480; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:57:40,480; INFO; pypromice.pipeline.L2toL3; -> ablation site
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
2025-11-14 09:57:41,201; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:57:41,280; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:57:41,349; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:57:48,405; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:57:48,606; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:52,311; INFO; pypromice.io.write; Written to L3_test/stations/THU_L/THU_L_hour.csv
2025-11-14 09:57:52,311; INFO; pypromice.io.write; Written to L3_test/stations/THU_L/THU_L_hour.nc
2025-11-14 09:57:52,504; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:57:52,585; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:52,774; INFO; pypromice.io.write; Written to L3_test/stations/THU_L/THU_L_day.csv
2025-11-14 09:57:52,774; INFO; pypromice.io.write; Written to L3_test/stations/THU_L/THU_L_day.nc
2025-11-14 09:57:52,928; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:57:53,003; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:53,060; INFO; pypromice.io.write; Written to L3_test/stations/THU_L/THU_L_month.csv
2025-11-14 09:57:53,060; INFO; pypromice.io.write; Written to L3_test/stations/THU_L/THU_L_month.nc
