ZAC_Lv3

 ======== test get_l2 ========= 

2025-11-14 09:59:06,228; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/ZAC_Lv3_300534060520430_1.txt
2025-11-14 09:59:08,101; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/ZAC_Lv3/ZAC_Lv3_2025_raw.dat
2025-11-14 09:59:08,188; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/ZAC_Lv3/ZAC_Lv3_2025_raw.dat
2025-11-14 09:59:08,370; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_Lv3_2025_raw.dat
2025-11-14 09:59:08,379; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:59:08,437; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:08,619; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:08,737; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:59:08,741; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_Lv3.csv
2025-11-14 09:59:08,753; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/ZAC_Lv3.csv
2025-11-14 09:59:08,765; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_Lv3.csv
2025-11-14 09:59:08,772; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:59:08,777; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:59:09,401; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:59:09,478; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:10,794; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_Lv3/ZAC_Lv3_10min.csv
2025-11-14 09:59:10,795; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_Lv3/ZAC_Lv3_10min.nc
2025-11-14 09:59:10,987; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:11,047; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:11,348; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_Lv3/ZAC_Lv3_hour.csv
2025-11-14 09:59:11,348; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_Lv3/ZAC_Lv3_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:59:11,492; INFO; pypromice.pipeline.join_l2; ZAC_Lv3 array loaded from L2_test/raw/ZAC_Lv3/ZAC_Lv3_hour.nc
2025-11-14 09:59:11,525; INFO; pypromice.pipeline.join_l2; ZAC_Lv3 array loaded from L2_test/tx/ZAC_Lv3/ZAC_Lv3_hour.nc
2025-11-14 09:59:11,525; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/ZAC_Lv3/ZAC_Lv3_hour.nc with L2_test/tx/ZAC_Lv3/ZAC_Lv3_hour.nc...
2025-11-14 09:59:11,621; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:12,318; INFO; pypromice.io.write; Written to L2_test/level_2/ZAC_Lv3/ZAC_Lv3_hour.csv
2025-11-14 09:59:12,318; INFO; pypromice.io.write; Written to L2_test/level_2/ZAC_Lv3/ZAC_Lv3_hour.nc
2025-11-14 09:59:12,318; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/ZAC_Lv3...

 ======== test l2tol3 ========= 

2025-11-14 09:59:12,357; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:59:14,090; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:59:14,094; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:59:14,097; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:59:14,115; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_Lv3.csv
2025-11-14 09:59:14,125; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:59:14,125; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:59:14,297; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:59:14,330; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:59:14,356; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:59:15,937; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:16,034; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:16,875; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Lv3/ZAC_Lv3_hour.csv
2025-11-14 09:59:16,875; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Lv3/ZAC_Lv3_hour.nc
2025-11-14 09:59:16,940; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:17,016; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:17,107; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Lv3/ZAC_Lv3_day.csv
2025-11-14 09:59:17,107; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Lv3/ZAC_Lv3_day.nc
2025-11-14 09:59:17,180; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:17,256; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:17,313; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Lv3/ZAC_Lv3_month.csv
2025-11-14 09:59:17,313; INFO; pypromice.io.write; Written to L3_test/stations/ZAC_Lv3/ZAC_Lv3_month.nc
