QAS_M

 ======== test get_l2 ========= 

2025-11-14 09:53:42,885; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/QAS_M/QAS_M_2017_raw_transmitted_1.txt
2025-11-14 09:54:02,550; INFO; pypromice.io.write; Written to L2_test/raw/QAS_M/QAS_M_hour.csv
2025-11-14 09:54:02,550; INFO; pypromice.io.write; Written to L2_test/raw/QAS_M/QAS_M_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:54:02,710; INFO; pypromice.pipeline.join_l2; QAS_M array loaded from L2_test/raw/QAS_M/QAS_M_hour.nc
2025-11-14 09:54:02,710; INFO; pypromice.pipeline.join_l2; Only one file found L2_test/raw/QAS_M/QAS_M_hour.nc...
2025-11-14 09:54:02,791; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:04,638; INFO; pypromice.io.write; Written to L2_test/level_2/QAS_M/QAS_M_hour.csv
2025-11-14 09:54:04,638; INFO; pypromice.io.write; Written to L2_test/level_2/QAS_M/QAS_M_hour.nc
2025-11-14 09:54:04,638; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/QAS_M...

 ======== test l2tol3 ========= 

2025-11-14 09:54:04,680; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:54:06,906; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2022-09-01T00:00:00
2025-11-14 09:54:06,917; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2022-09-01T00:00:00
2025-11-14 09:54:06,927; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2022-09-01T00:00:00
2025-11-14 09:54:06,955; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_M.csv
2025-11-14 09:54:06,977; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:54:06,977; INFO; pypromice.pipeline.L2toL3; -> ablation site
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
2025-11-14 09:54:07,318; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:54:07,364; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:54:07,425; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:54:11,618; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:54:11,732; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:13,529; INFO; pypromice.io.write; Written to L3_test/stations/QAS_M/QAS_M_hour.csv
2025-11-14 09:54:13,529; INFO; pypromice.io.write; Written to L3_test/stations/QAS_M/QAS_M_hour.nc
2025-11-14 09:54:13,623; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:54:13,700; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:13,820; INFO; pypromice.io.write; Written to L3_test/stations/QAS_M/QAS_M_day.csv
2025-11-14 09:54:13,820; INFO; pypromice.io.write; Written to L3_test/stations/QAS_M/QAS_M_day.nc
2025-11-14 09:54:13,913; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:54:13,989; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:14,046; INFO; pypromice.io.write; Written to L3_test/stations/QAS_M/QAS_M_month.csv
2025-11-14 09:54:14,046; INFO; pypromice.io.write; Written to L3_test/stations/QAS_M/QAS_M_month.nc
