TAS_U

 ======== test get_l2 ========= 

2025-11-14 09:56:57,342; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/TAS_U/TAS_U_2008_1_raw.txt
2025-11-14 09:57:25,862; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:57:25,985; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:27,811; INFO; pypromice.io.write; Written to L3_test/stations/TAS_U/TAS_U_hour.csv
2025-11-14 09:57:27,811; INFO; pypromice.io.write; Written to L3_test/stations/TAS_U/TAS_U_hour.nc
2025-11-14 09:57:27,917; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:57:27,994; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:28,162; INFO; pypromice.io.write; Written to L3_test/stations/TAS_U/TAS_U_day.csv
2025-11-14 09:57:28,162; INFO; pypromice.io.write; Written to L3_test/stations/TAS_U/TAS_U_day.nc
2025-11-14 09:57:28,269; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:57:28,344; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:28,409; INFO; pypromice.io.write; Written to L3_test/stations/TAS_U/TAS_U_month.csv
2025-11-14 09:57:28,409; INFO; pypromice.io.write; Written to L3_test/stations/TAS_U/TAS_U_month.nc
