QAS_Mv3

 ======== test get_l2 ========= 

2025-11-14 09:53:43,104; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/QAS_Mv3_300534063811790_1.txt
2025-11-14 09:53:45,225; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_Mv3_2025_DataTable10min.dat
2025-11-14 09:53:45,234; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:53:45,311; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:45,498; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:45,643; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:53:45,646; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_Mv3.csv
2025-11-14 09:53:45,651; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/QAS_Mv3.csv
2025-11-14 09:53:45,667; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_Mv3.csv
2025-11-14 09:53:45,690; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:53:46,571; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:53:46,691; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:53:48,180; INFO; pypromice.io.write; Written to L2_test/raw/QAS_Mv3/QAS_Mv3_10min.csv
2025-11-14 09:53:48,180; INFO; pypromice.io.write; Written to L2_test/raw/QAS_Mv3/QAS_Mv3_10min.nc
2025-11-14 09:53:48,442; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:53:48,509; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:53:49,113; INFO; pypromice.io.write; Written to L2_test/raw/QAS_Mv3/QAS_Mv3_hour.csv
2025-11-14 09:53:49,113; INFO; pypromice.io.write; Written to L2_test/raw/QAS_Mv3/QAS_Mv3_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:53:49,251; INFO; pypromice.pipeline.join_l2; QAS_Mv3 array loaded from L2_test/raw/QAS_Mv3/QAS_Mv3_hour.nc
2025-11-14 09:53:49,283; INFO; pypromice.pipeline.join_l2; QAS_Mv3 array loaded from L2_test/tx/QAS_Mv3/QAS_Mv3_hour.nc
2025-11-14 09:53:49,283; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/QAS_Mv3/QAS_Mv3_hour.nc with L2_test/tx/QAS_Mv3/QAS_Mv3_hour.nc...
2025-11-14 09:53:49,382; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:53:50,027; INFO; pypromice.io.write; Written to L2_test/level_2/QAS_Mv3/QAS_Mv3_hour.csv
2025-11-14 09:53:50,027; INFO; pypromice.io.write; Written to L2_test/level_2/QAS_Mv3/QAS_Mv3_hour.nc
2025-11-14 09:53:50,027; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/QAS_Mv3...

 ======== test l2tol3 ========= 

2025-11-14 09:53:50,069; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:53:51,774; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:53:51,777; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:53:51,780; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:53:51,799; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_Mv3.csv
2025-11-14 09:53:51,814; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:53:51,814; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:53:51,930; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:53:51,957; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:53:51,962; INFO; pypromice.pipeline.L2toL3; No maintenance at QAS_Mv3
2025-11-14 09:53:51,971; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:53:54,174; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:53:54,267; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:53:54,940; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Mv3/QAS_Mv3_hour.csv
2025-11-14 09:53:54,941; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Mv3/QAS_Mv3_hour.nc
2025-11-14 09:53:55,010; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:53:55,089; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:53:55,197; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Mv3/QAS_Mv3_day.csv
2025-11-14 09:53:55,197; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Mv3/QAS_Mv3_day.nc
2025-11-14 09:53:55,256; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:53:55,333; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:53:55,407; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Mv3/QAS_Mv3_month.csv
2025-11-14 09:53:55,407; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Mv3/QAS_Mv3_month.nc
