THU_U

 ======== test get_l2 ========= 

2025-11-14 09:56:56,642; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2011_raw_modlots.csv
2025-11-14 09:57:21,195; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/THU_U...

 ======== test l2tol3 ========= 

2025-11-14 09:57:21,236; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:57:24,104; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:57:24,109; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:57:24,114; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:57:24,139; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_U.csv
2025-11-14 09:57:24,161; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:57:24,161; INFO; pypromice.pipeline.L2toL3; -> ablation site
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
2025-11-14 09:57:24,692; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:57:24,755; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:57:24,829; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:57:37,431; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:57:37,564; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:40,077; INFO; pypromice.io.write; Written to L3_test/stations/THU_U/THU_U_hour.csv
2025-11-14 09:57:40,077; INFO; pypromice.io.write; Written to L3_test/stations/THU_U/THU_U_hour.nc
2025-11-14 09:57:40,228; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:57:40,306; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:40,461; INFO; pypromice.io.write; Written to L3_test/stations/THU_U/THU_U_day.csv
2025-11-14 09:57:40,461; INFO; pypromice.io.write; Written to L3_test/stations/THU_U/THU_U_day.nc
2025-11-14 09:57:40,635; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:57:40,709; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:40,764; INFO; pypromice.io.write; Written to L3_test/stations/THU_U/THU_U_month.csv
2025-11-14 09:57:40,764; INFO; pypromice.io.write; Written to L3_test/stations/THU_U/THU_U_month.nc
