NUK_Uv3

 ======== test get_l2 ========= 

2025-11-14 09:52:35,388; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300234068420030_1.txt
2025-11-14 09:52:47,982; INFO; pypromice.pipeline.join_l2; NUK_Uv3 array loaded from L2_test/raw/NUK_Uv3/NUK_Uv3_hour.nc
2025-11-14 09:52:48,022; INFO; pypromice.pipeline.join_l2; NUK_Uv3 array loaded from L2_test/tx/NUK_Uv3/NUK_Uv3_hour.nc
2025-11-14 09:52:48,022; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/NUK_Uv3/NUK_Uv3_hour.nc with L2_test/tx/NUK_Uv3/NUK_Uv3_hour.nc...
2025-11-14 09:52:48,153; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:49,688; INFO; pypromice.io.write; Written to L2_test/level_2/NUK_Uv3/NUK_Uv3_hour.csv
2025-11-14 09:52:49,688; INFO; pypromice.io.write; Written to L2_test/level_2/NUK_Uv3/NUK_Uv3_hour.nc
2025-11-14 09:52:49,688; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/NUK_Uv3...

 ======== test l2tol3 ========= 

2025-11-14 09:52:49,736; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:52:52,087; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:52:52,093; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:52:52,098; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:52:52,121; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_Uv3.csv
2025-11-14 09:52:52,138; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:52:52,138; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:52:52,408; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:52:52,458; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:52:52,494; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:52:54,808; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:52:54,916; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:56,412; INFO; pypromice.io.write; Written to L3_test/stations/NUK_Uv3/NUK_Uv3_hour.csv
2025-11-14 09:52:56,412; INFO; pypromice.io.write; Written to L3_test/stations/NUK_Uv3/NUK_Uv3_hour.nc
2025-11-14 09:52:56,550; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:52:56,632; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:56,750; INFO; pypromice.io.write; Written to L3_test/stations/NUK_Uv3/NUK_Uv3_day.csv
2025-11-14 09:52:56,750; INFO; pypromice.io.write; Written to L3_test/stations/NUK_Uv3/NUK_Uv3_day.nc
2025-11-14 09:52:56,852; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:52:56,932; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:56,993; INFO; pypromice.io.write; Written to L3_test/stations/NUK_Uv3/NUK_Uv3_month.csv
2025-11-14 09:52:56,993; INFO; pypromice.io.write; Written to L3_test/stations/NUK_Uv3/NUK_Uv3_month.nc
